name;rating;convenience;security;functionality;comment
Мост 10;3.6;5;1;5;У этого здания отличная архитектура.
Дупло 63;2.9;1;5;1;Это здание построено из стандартных строительных материалов.
Причал 61;2.0;4;5;1;Это здание не имеет особых архитектурных особенностей.
Конюшня 35;1.7;3;5;4;Это здание имеет стандартную конструкцию.
Мостки 12;1.0;2;4;2;У этого здания отличная архитектура.
Бункер 52;0.6;1;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Утятник 23;1.9;3;1;5;Это здание построено из стандартных строительных материалов.
Дупло 63;0.4;1;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Бункер 3;4.7;3;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Склад 20;1.4;5;4;5;Мне нравится дизайн этого здания.
Университет 61;4.9;5;3;4;Это здание имеет стандартную конструкцию.
Бункер 45;2.5;2;3;1;Это здание имеет стандартную конструкцию.
Улей 29;2.4;5;2;1;Это великолепное здание!
Теплотрасса 12;0.6;4;2;5;Это здание не имеет особых архитектурных особенностей.
Логово 87;1.5;4;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Чердак 7;4.3;2;5;1;Это здание является примером функционального дизайна.
Академия 3;0.3;1;3;5;Это здание является примером функционального дизайна.
Плантация 35;1.9;5;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Лифт 20;0.3;5;2;3;Это здание не имеет особых архитектурных особенностей.
Склад 20;4.5;5;4;5;Это великолепное здание!
Коровник 96;1.9;1;1;2;У этого здания отличная архитектура.
Торговый центр 89;1.1;4;1;2;Это здание представляет собой типичный образец современной архитектуры.
Особняк 94;2.1;4;4;3;У этого здания отличная архитектура.
Улей 100;1.4;1;1;1;Это здание очень функционально.
Супермаркет 27;1.8;2;2;3;Это здание построено из стандартных строительных материалов.
Стадион 67;3.3;5;1;4;Это здание очень функционально.
Академия 3;1.8;2;1;5;Это здание не имеет особых архитектурных особенностей.
Цирк 90;3.3;5;3;3;Мне нравится дизайн этого здания.
Дупло 63;0.1;1;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Нефтепровод 16;1.0;1;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 65;3.7;2;5;2;Это здание представляет собой типичный образец современной архитектуры.
Развязка 55;0.6;5;2;1;Это здание очень функционально.
Причал 61;3.8;1;2;1;Это здание является примером функционального дизайна.
Супермаркет 27;1.6;4;1;5;У этого здания отличная архитектура.
Школа 30;1.5;1;5;3;Это здание имеет стандартную конструкцию.
Стадион 67;3.3;1;2;1;Это здание построено из стандартных строительных материалов.
Дупло 57;3.1;4;5;4;Это здание не имеет особых архитектурных особенностей.
Цирк 80;5.0;2;4;2;Это здание не имеет особых архитектурных особенностей.
Цирк 80;1.6;1;5;3;У этого здания отличная архитектура.
Волчатник 40;4.9;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
Канализация 73;4.3;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Док 21;2.1;1;5;1;Это здание не имеет особых архитектурных особенностей.
Нефтепровод 54;0.8;1;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Развязка 55;2.7;5;1;1;Это здание построено из стандартных строительных материалов.
Цирк 80;1.2;2;4;4;Это великолепное здание!
Торговый центр 89;2.7;1;1;3;Это здание не имеет особых архитектурных особенностей.
Фабрика 68;4.8;4;4;4;У этого здания отличная архитектура.
Кафе 58;0.8;3;2;4;Это здание не имеет особых архитектурных особенностей.
Торговый центр 89;0.5;1;4;4;Это здание является примером функционального дизайна.
Верфь 32;3.7;1;4;3;Это здание не имеет особых архитектурных особенностей.
Док 21;3.9;3;3;4;Это здание является примером функционального дизайна.
Лосятник 3;4.2;1;2;3;Это здание очень функционально.
Лосятник 3;4.3;4;2;4;Это великолепное здание!
Дупло 63;1.5;1;2;4;Это здание является примером функционального дизайна.
Улей 100;4.6;2;4;1;Это здание имеет стандартную конструкцию.
Гараж 45;0.1;2;5;4;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 12;2.9;4;1;1;Это здание является примером функционального дизайна.
Верфь 32;4.2;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Плантация 35;0.7;2;3;3;Это здание очень функционально.
Бомбоубежище 54;4.6;3;1;3;Это здание построено из стандартных строительных материалов.
Театр 53;0.5;1;1;2;Это здание имеет стандартную конструкцию.
Верфь 32;3.9;2;3;5;Это великолепное здание!
Башня 29;1.7;5;2;5;Это здание является примером функционального дизайна.
Лосятник 3;0.9;4;2;4;Это здание не имеет особых архитектурных особенностей.
Конюшня 35;1.7;2;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Отель 50;4.4;4;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Офис 44;2.1;1;5;2;Это здание является примером функционального дизайна.
Док 21;4.8;5;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Крольчатник 79;3.4;2;5;5;Это здание представляет собой типичный образец современной архитектуры.
Док 21;0.1;3;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Башня 29;2.6;2;5;1;Это здание построено из стандартных строительных материалов.
Цирк 80;1.3;5;4;2;У этого здания отличная архитектура.
Дупло 63;2.8;2;1;3;Это здание является примером функционального дизайна.
Лосятник 3;2.4;2;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Цирк 90;1.7;5;4;1;Мне нравится дизайн этого здания.
Бункер 45;2.3;2;3;5;Это великолепное здание!
Бомбоубежище 9;0.4;4;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мост 61;4.5;3;1;1;Это здание не имеет особых архитектурных особенностей.
Мануфактура 45;1.9;4;3;2;Это здание построено из стандартных строительных материалов.
Паутинник 55;2.1;4;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Чердак 7;0.5;5;2;2;Это здание имеет стандартную конструкцию.
Институт 58;4.4;5;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бомбоубежище 54;3.8;5;4;2;Мне нравится дизайн этого здания.
Конюшня 35;5.0;4;3;2;Это здание очень функционально.
Мостки 40;0.1;4;1;1;Мне нравится дизайн этого здания.
Гусятник 66;1.4;2;3;4;Это здание имеет стандартную конструкцию.
Крольчатник 79;2.6;1;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Башня 29;3.1;4;3;4;Это здание имеет стандартную конструкцию.
Нефтепровод 54;4.4;5;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Склад 20;4.4;3;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бомбоубежище 9;3.3;3;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Цирк 80;2.4;1;3;2;Мне нравится дизайн этого здания.
Цирк 90;0.1;5;4;3;Это здание имеет стандартную конструкцию.
Церковь 79;3.5;3;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Жилой дом 3;1.6;1;4;4;Это здание построено из стандартных строительных материалов.
Мост 10;4.9;4;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Канализация 73;1.6;5;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Плантация 35;1.1;5;4;4;Это здание является примером функционального дизайна.
Мануфактура 45;1.2;3;2;3;Мне нравится дизайн этого здания.
Мостки 40;1.0;3;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Фабрика 68;2.9;3;2;4;Это здание представляет собой типичный образец современной архитектуры.
Теплотрасса 59;3.5;4;5;5;Это здание представляет собой типичный образец современной архитектуры.
Страусятник 65;2.5;5;5;4;Это великолепное здание!
Канализация 73;3.5;4;4;3;Это здание построено из стандартных строительных материалов.
Жилой дом 3;1.4;4;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Больница 66;0.2;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Склад 20;4.5;5;2;2;Это здание не имеет особых архитектурных особенностей.
Башня 29;1.8;1;4;4;Это здание не имеет особых архитектурных особенностей.
Утятник 23;3.2;2;2;2;Это здание имеет стандартную конструкцию.
Офис 44;0.2;3;5;4;У этого здания отличная архитектура.
Петля 98;1.9;3;5;2;Это здание имеет стандартную конструкцию.
Теплотрасса 12;0.5;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Маяк 85;5.0;4;1;5;Это здание очень функционально.
Плантация 35;2.4;3;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Стадион 67;0.7;4;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мостки 40;0.9;3;2;3;Это здание не имеет особых архитектурных особенностей.
Академия 5;0.3;4;1;3;Это здание представляет собой типичный образец современной архитектуры.
Развязка 55;4.7;5;3;1;Это здание является примером функционального дизайна.
Кладбище 49;3.2;1;5;1;Это здание построено из стандартных строительных материалов.
Гусятник 66;1.2;1;2;5;Это здание является примером функционального дизайна.
Страусятник 65;4.7;3;3;1;Это здание не имеет особых архитектурных особенностей.
Кинотеатр 92;0.4;4;5;2;Это здание является примером функционального дизайна.
Лосятник 3;2.3;2;1;4;Это здание не имеет особых архитектурных особенностей.
Дворец 13;2.2;3;4;3;Это здание очень функционально.
Развязка 55;2.6;2;5;3;Это великолепное здание!
Дворец 34;4.4;2;1;2;Это здание имеет стандартную конструкцию.
Утятник 23;4.4;4;1;2;Это здание имеет стандартную конструкцию.
Академия 5;3.6;5;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Школа 57;1.1;2;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Лосятник 3;3.5;2;2;1;Это здание не имеет особых архитектурных особенностей.
Дупло 63;3.7;5;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Плантация 35;0.7;1;4;5;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 59;4.4;3;4;1;Мне нравится дизайн этого здания.
Академия 5;1.7;1;5;4;Это здание построено из стандартных строительных материалов.
Док 21;2.1;5;1;5;Это здание очень функционально.
Жилой дом 3;2.0;2;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 52;4.6;1;5;2;Это здание не имеет особых архитектурных особенностей.
Развязка 55;1.9;5;1;1;Это здание является примером функционального дизайна.
Стадион 67;1.3;5;5;1;Это здание является примером функционального дизайна.
Утятник 23;1.9;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Убежище 16;4.7;5;1;3;Это здание имеет стандартную конструкцию.
Лифт 20;4.8;1;4;4;Мне нравится дизайн этого здания.
Отель 50;3.0;1;4;5;Это здание построено из стандартных строительных материалов.
Улей 100;4.5;1;4;2;Это здание построено из стандартных строительных материалов.
Пандус 7;2.9;1;4;4;Это здание является примером функционального дизайна.
Лосятник 3;2.7;3;1;1;Это здание является примером функционального дизайна.
Мост 61;1.5;4;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Супермаркет 27;3.2;3;2;3;Это здание построено из стандартных строительных материалов.
Котельная 94;3.9;1;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Убежище 51;1.9;2;4;1;Это здание построено из стандартных строительных материалов.
Институт 58;2.1;2;5;5;Это здание построено из стандартных строительных материалов.
Академия 3;3.1;1;5;4;Это здание представляет собой типичный образец современной архитектуры.
Док 21;0.2;3;1;3;Это великолепное здание!
Улей 29;4.0;5;1;5;Это здание очень функционально.
Школа 30;2.4;3;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 94;3.9;1;5;2;Это здание имеет стандартную конструкцию.
Канализация 73;2.4;5;4;4;Это здание имеет стандартную конструкцию.
Дворец 34;2.8;4;2;3;Это здание построено из стандартных строительных материалов.
Развязка 55;0.8;3;3;3;Это здание имеет стандартную конструкцию.
Пандус 60;1.6;1;1;2;Это здание представляет собой типичный образец современной архитектуры.
Бункер 45;2.7;1;2;4;Это здание построено из стандартных строительных материалов.
Лифт 20;0.6;3;3;3;Это здание представляет собой типичный образец современной архитектуры.
Жилой дом 13;3.2;3;4;1;Это здание представляет собой типичный образец современной архитектуры.
Бункер 3;1.8;2;5;3;Это здание построено из стандартных строительных материалов.
Верфь 10;4.7;5;4;5;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 68;0.3;5;1;1;Это здание является примером функционального дизайна.
Особняк 94;3.5;1;3;5;Это великолепное здание!
Мостки 40;0.3;3;5;1;Это здание не имеет особых архитектурных особенностей.
Док 21;2.1;4;2;1;Это здание построено из стандартных строительных материалов.
Убежище 51;1.6;4;2;2;Это здание построено из стандартных строительных материалов.
Бомбоубежище 9;0.1;3;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Стадион 67;2.4;5;1;4;Это великолепное здание!
Академия 5;4.9;3;4;4;Это здание построено из стандартных строительных материалов.
Убежище 51;2.0;3;2;2;Это здание построено из стандартных строительных материалов.
Нефтепровод 54;2.8;5;5;1;Это здание не имеет особых архитектурных особенностей.
Страусятник 65;1.4;4;1;4;Это здание построено из стандартных строительных материалов.
Пандус 60;0.9;1;5;2;Это здание имеет стандартную конструкцию.
Канализация 73;1.5;2;4;3;Это здание представляет собой типичный образец современной архитектуры.
Крольчатник 79;2.3;4;2;1;Это великолепное здание!
Нефтепровод 16;2.8;3;1;3;Это здание является примером функционального дизайна.
Петля 98;1.4;5;2;4;Это здание построено из стандартных строительных материалов.
Цирк 90;4.5;1;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Жилой дом 3;4.8;4;5;4;Это здание не имеет особых архитектурных особенностей.
Торговый центр 89;2.6;1;4;3;Это здание не имеет особых архитектурных особенностей.
Нефтепровод 54;2.1;2;3;1;Это здание очень функционально.
Автомойка 29;2.5;3;1;5;Это здание имеет стандартную конструкцию.
Супермаркет 27;1.6;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
Гараж 45;3.2;4;3;5;Это здание не имеет особых архитектурных особенностей.
Пандус 7;0.9;3;5;5;Это здание является примером функционального дизайна.
Утятник 23;2.8;2;3;1;Это здание не имеет особых архитектурных особенностей.
Улей 29;2.1;2;2;3;Это здание имеет стандартную конструкцию.
Больница 66;4.4;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Церковь 79;4.8;1;4;5;Это здание очень функционально.
Кладбище 64;2.3;4;5;4;Это здание имеет стандартную конструкцию.
Жилой дом 13;2.9;5;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Конюшня 35;2.3;4;1;4;Это здание очень функционально.
Фабрика 68;1.8;4;2;2;Это здание не имеет особых архитектурных особенностей.
Бункер 52;3.7;4;5;4;Это здание имеет стандартную конструкцию.
Верфь 10;4.0;3;5;1;Это великолепное здание!
Кладбище 49;2.5;5;4;4;Это здание очень функционально.
Верфь 32;3.8;3;4;5;У этого здания отличная архитектура.
Университет 61;3.2;3;2;3;Это здание является примером функционального дизайна.
Бомбоубежище 9;3.5;1;3;3;Это здание является примером функционального дизайна.
Мост 61;3.5;2;5;4;Это здание является примером функционального дизайна.
Плантация 35;1.0;3;3;4;Это великолепное здание!
Плантация 35;1.9;4;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 52;4.0;4;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Коровник 96;3.8;1;5;4;Это здание представляет собой типичный образец современной архитектуры.
Лосятник 3;3.0;2;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Конюшня 35;1.5;5;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Цирк 80;2.1;5;5;4;Это здание представляет собой типичный образец современной архитектуры.
Виадук 19;2.8;2;2;1;Это великолепное здание!
Страусятник 65;5.0;2;2;2;Это здание является примером функционального дизайна.
Мост 61;3.1;3;3;3;Это здание представляет собой типичный образец современной архитектуры.
Улей 100;1.3;5;3;3;Это здание представляет собой типичный образец современной архитектуры.
Музей 85;2.0;3;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Автомойка 29;4.8;3;2;4;Это здание построено из стандартных строительных материалов.
Убежище 51;1.4;5;4;4;Это здание имеет стандартную конструкцию.
Верфь 32;3.7;2;3;2;Это здание представляет собой типичный образец современной архитектуры.
Страусятник 65;4.8;4;1;3;Это здание представляет собой типичный образец современной архитектуры.
Утятник 23;3.1;1;5;1;Это здание не имеет особых архитектурных особенностей.
Лифт 20;1.2;3;3;4;Это здание не имеет особых архитектурных особенностей.
Кафе 58;5.0;3;4;2;У этого здания отличная архитектура.
Утятник 23;2.2;5;3;4;Это здание имеет стандартную конструкцию.
Пасека 31;1.1;4;1;4;Это здание представляет собой типичный образец современной архитектуры.
Петля 98;2.4;3;3;2;Это здание не имеет особых архитектурных особенностей.
Улей 29;2.2;4;3;2;Это здание не имеет особых архитектурных особенностей.
Мостки 40;4.8;5;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Башня 29;3.3;5;4;4;Это здание не имеет особых архитектурных особенностей.
Бункер 52;2.5;1;2;4;Это здание не имеет особых архитектурных особенностей.
Больница 66;0.1;3;2;3;Мне нравится дизайн этого здания.
Гараж 45;1.1;5;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мостки 40;0.9;2;3;4;Это здание является примером функционального дизайна.
Нефтепровод 16;3.1;5;2;4;Это здание очень функционально.
Пандус 7;2.5;1;4;1;Это здание не имеет особых архитектурных особенностей.
Гараж 45;1.9;3;2;2;Это здание не имеет особых архитектурных особенностей.
Бомбоубежище 9;3.8;4;2;2;Это великолепное здание!
Музей 85;2.5;5;1;2;Это здание является примером функционального дизайна.
Цирк 80;0.8;3;4;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 3;4.8;1;2;2;Это здание не имеет особых архитектурных особенностей.
Волчатник 84;1.7;4;1;4;Это здание очень функционально.
Псарня 81;1.9;3;1;1;Мне нравится дизайн этого здания.
Виадук 19;4.0;4;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Нефтепровод 16;4.9;3;2;2;Это здание представляет собой типичный образец современной архитектуры.
Пасека 31;2.0;5;1;4;Это здание не имеет особых архитектурных особенностей.
Канализация 73;4.2;5;4;5;Это здание является примером функционального дизайна.
Дупло 57;3.3;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Улей 100;3.4;5;5;3;Это здание имеет стандартную конструкцию.
Склад 20;1.1;3;2;1;Это здание является примером функционального дизайна.
Лосятник 3;3.5;2;3;5;Это здание не имеет особых архитектурных особенностей.
Лосятник 3;4.3;5;2;4;Мне нравится дизайн этого здания.
Дворец 34;2.7;5;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мостки 40;3.3;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Нефтепровод 16;0.2;5;5;5;Это здание имеет стандартную конструкцию.
Теплотрасса 12;0.3;3;4;2;Это здание построено из стандартных строительных материалов.
Бункер 3;2.2;5;2;2;Это здание имеет стандартную конструкцию.
Офис 44;1.0;3;1;4;Это здание очень функционально.
Чердак 7;4.7;1;5;1;Мне нравится дизайн этого здания.
Лосятник 3;0.8;3;5;3;Это здание построено из стандартных строительных материалов.
Док 21;2.8;5;5;1;Это здание построено из стандартных строительных материалов.
Башня 29;4.4;4;3;4;Это здание построено из стандартных строительных материалов.
Страусятник 65;3.6;4;1;1;Это здание построено из стандартных строительных материалов.
Виадук 19;2.5;5;2;1;Это здание построено из стандартных строительных материалов.
Конюшня 35;2.4;5;2;4;Мне нравится дизайн этого здания.
Псарня 81;1.0;3;2;5;Это здание очень функционально.
Паутинник 55;1.7;1;5;2;Это великолепное здание!
Бомбоубежище 54;1.6;4;1;5;Это здание имеет стандартную конструкцию.
Пандус 7;0.6;4;5;2;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 59;0.8;3;1;2;Это здание построено из стандартных строительных материалов.
Убежище 51;4.7;3;5;4;Это здание имеет стандартную конструкцию.
Нефтепровод 16;0.7;5;2;1;Мне нравится дизайн этого здания.
Теплотрасса 12;2.1;5;5;3;Это здание является примером функционального дизайна.
Коровник 96;3.2;3;2;4;Это здание не имеет особых архитектурных особенностей.
Убежище 16;0.5;1;1;3;Мне нравится дизайн этого здания.
Волчатник 84;4.2;2;4;1;Это здание не имеет особых архитектурных особенностей.
Цирк 80;0.4;4;5;3;Мне нравится дизайн этого здания.
Волчатник 84;0.9;4;1;3;Это здание не имеет особых архитектурных особенностей.
Гусятник 66;1.1;3;4;5;Это здание построено из стандартных строительных материалов.
Автомойка 29;0.5;2;1;1;Это здание не имеет особых архитектурных особенностей.
Цирк 80;2.1;3;2;1;Это здание представляет собой типичный образец современной архитектуры.
Лифт 20;1.1;5;4;3;Это здание имеет стандартную конструкцию.
Пасека 31;3.0;3;5;1;Это здание является примером функционального дизайна.
Причал 61;0.2;4;2;3;Это здание очень функционально.
Страусятник 65;3.8;4;1;2;Мне нравится дизайн этого здания.
Улей 29;0.5;5;2;3;Это здание имеет стандартную конструкцию.
Жилой дом 13;3.9;2;1;4;Это здание построено из стандартных строительных материалов.
Чердак 7;1.8;4;5;2;Это здание не имеет особых архитектурных особенностей.
Паутинник 55;1.5;5;3;1;Это здание представляет собой типичный образец современной архитектуры.
Нефтепровод 16;4.0;4;3;4;У этого здания отличная архитектура.
Стадион 67;2.5;3;3;5;Это здание построено из стандартных строительных материалов.
Жилой дом 13;0.7;2;4;2;Это великолепное здание!
Супермаркет 27;1.1;3;1;5;Это здание представляет собой типичный образец современной архитектуры.
Канализация 73;0.9;1;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Склад 20;5.0;5;2;4;Это здание построено из стандартных строительных материалов.
Пандус 60;3.8;4;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Причал 61;3.6;1;1;4;Это здание является примером функционального дизайна.
Жилой дом 13;3.6;3;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Маяк 85;0.7;5;5;1;Это здание имеет стандартную конструкцию.
Академия 3;4.3;4;3;4;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 4;4.5;1;4;4;Это здание является примером функционального дизайна.
Гараж 45;3.4;2;5;5;Это здание представляет собой типичный образец современной архитектуры.
Псарня 81;2.9;5;1;5;Это здание не имеет особых архитектурных особенностей.
Улей 29;4.5;4;4;4;Это здание не имеет особых архитектурных особенностей.
Жилой дом 3;1.6;1;4;2;Это здание очень функционально.
